state,year,population
Nevada,2015,2798636.0
New Hampshire,2015,1324201.0
New Jersey,2015,8904413.0
New Mexico,2015,2084117.0
New York,2015,19673174.0
North Carolina,2015,9845333.0
North Dakota,2015,721640.0
Ohio,2015,11575977.0
Oklahoma,2015,3849733.0
Oregon,2015,3939233.0
Pennsylvania,2015,12779559.0
Rhode Island,2015,1053661.0
South Carolina,2015,4777576.0
South Dakota,2015,843190.0
Tennessee,2015,6499615.0
Texas,2015,26538614.0
Utah,2015,2903379.0
Vermont,2015,626604.0
Virginia,2015,8256630.0
Washington,2015,6985464.0
West Virginia,2015,1851420.0
Wisconsin,2015,5742117.0
Wyoming,2015,579679.0
District of Columbia,2015,647484.0
Alabama,2016,4841164.0
Alaska,2016,736855.0
Arizona,2016,6728577.0
Arkansas,2016,2968472.0
California,2016,38654206.0
Colorado,2016,5359295.0
Connecticut,2016,3588570.0
Delaware,2016,934695.0
Florida,2016,19934451.0
Georgia,2016,10099320.0
Hawaii,2016,1413673.0
Idaho,2016,1635483.0
Illinois,2016,12851684.0
Indiana,2016,6589578.0
Iowa,2016,3106589.0
Kansas,2016,2898292.0
Kentucky,2016,4411989.0
Louisiana,2016,4645670.0
Maine,2016,1329923.0
Maryland,2016,5959902.0
Massachusetts,2016,6742143.0
Michigan,2016,9909600.0
Minnesota,2016,5450868.0
Mississippi,2016,2989192.0
Missouri,2016,6059651.0
Montana,2016,1023391.0
Nebraska,2016,1881259.0
Nevada,2016,2839172.0
New Hampshire,2016,1327503.0
New Jersey,2016,8915456.0
New Mexico,2016,2082669.0
New York,2016,19697457.0
North Carolina,2016,9940828.0
North Dakota,2016,736162.0
Ohio,2016,11586941.0
Oklahoma,2016,3875589.0
Oregon,2016,3982267.0
Pennsylvania,2016,12783977.0
Rhode Island,2016,1054491.0
South Carolina,2016,4834605.0
South Dakota,2016,851058.0
Tennessee,2016,6548009.0
Texas,2016,26956435.0
Utah,2016,2948427.0
Vermont,2016,626249.0
Virginia,2016,8310301.0
Washington,2016,7073146.0
West Virginia,2016,1846092.0
Wisconsin,2016,5754798.0
Wyoming,2016,583029.0
District of Columbia,2016,659009.0
Alabama,2017,4850771.0
Alaska,2017,738565.0
Arizona,2017,6809946.0
Arkansas,2017,2977944.0
