state,abbr,recovery_months_predicted,recovery_months_low,recovery_months_high,instability_tier,prob_LOW,prob_MODERATE,prob_HIGH,prob_CRITICAL,drpi_score,drpi_risk_tier,avg_disaster_exposure_12m,avg_damage_per_capita,fiscal_capacity_per_capita,compound_vulnerability_index,cvi_labor,cvi_disaster,cvi_damage,cvi_fiscal,cvi_structure,avg_unemployment_rate,unemployment_volatility_excl_covid,baseline_unemployment,unemployment_shock_magnitude,service_share_pct,industry_share_pct,natres_share_pct,govt_share_pct,economic_profile,profile_benchmark_months,recovery_months
Minnesota,MN,15.9,9.5,22.3,LOW,0.617,0.309,0.052,0.022,34.1,MODERATE,44.0889,13.1893,10982.0,0.3463,0.3504,0.3301,0.0207,0.6149,0.6822,4.3056,1.5756,3.34,5.26,63.26,18.48,2.34,9.5,Service-Dominated,16.2,13.0
Iowa,IA,14.3,7.9,20.7,LOW,0.782,0.123,0.056,0.039,33.7,MODERATE,50.3889,148.704,10067.0,0.3516,0.2162,0.379,0.2662,0.6877,0.4442,3.95,1.2389,2.67,8.03,54.37,22.96,5.6,10.73,Resource-Intensive,14.4,17.0
Pennsylvania,PA,16.7,10.3,23.1,MODERATE,0.065,0.503,0.348,0.084,33.4,MODERATE,28.5556,6.2017,9676.0,0.351,0.3663,0.2094,0.0081,0.7189,0.7237,5.8044,1.6157,4.36,10.74,64.81,16.72,2.05,9.14,Service-Dominated,16.2,18.0
New Mexico,NM,19.0,12.6,25.4,LOW,0.808,0.153,0.031,0.008,32.7,MODERATE,19.6667,44.604,18705.0,0.2293,0.2857,0.1404,0.0776,0.0,0.2996,6.115,1.4134,5.1,3.3,48.97,9.61,11.28,22.88,Resource-Intensive,14.4,19.0
Ohio,OH,15.7,9.3,22.1,HIGH,0.07,0.154,0.563,0.213,32.7,MODERATE,25.8889,9.4236,8437.0,0.3702,0.525,0.1887,0.0139,0.8175,0.6233,5.8872,2.0138,4.19,11.71,61.06,20.22,1.41,10.35,Industry-Intensive,11.5,17.0
Idaho,ID,15.6,9.2,22.0,HIGH,0.151,0.187,0.529,0.133,32.0,MODERATE,11.6833,40.3981,8080.0,0.3766,0.6431,0.0783,0.07,0.8459,0.5609,4.7983,2.3103,2.82,8.68,58.73,17.17,5.26,11.65,Resource-Intensive,14.4,16.0
Arkansas,AR,14.1,7.7,20.5,LOW,0.484,0.407,0.076,0.034,31.3,MODERATE,40.85,48.4854,9496.0,0.3545,0.469,0.3049,0.0847,0.7332,0.4876,5.0428,1.8732,3.58,6.02,55.99,21.05,2.81,12.1,Industry-Intensive,11.5,16.0
South Dakota,SD,13.3,6.9,19.7,LOW,0.597,0.23,0.122,0.051,31.0,MODERATE,48.75,166.5806,7513.0,0.3649,0.1283,0.3663,0.2986,0.8911,0.6246,3.1539,1.0183,2.65,6.15,61.11,13.41,8.84,10.49,Resource-Intensive,14.4,6.0
Indiana,IN,14.7,8.3,21.1,CRITICAL,0.117,0.117,0.304,0.463,30.8,MODERATE,20.5667,4.7153,8356.0,0.3788,0.6736,0.1474,0.0054,0.824,0.3323,5.4689,2.3868,3.32,13.18,50.19,31.55,1.77,8.93,Industry-Intensive,11.5,16.0
Wisconsin,WI,15.4,9.0,21.8,HIGH,0.094,0.331,0.459,0.116,29.7,MODERATE,18.3333,10.572,8762.0,0.3488,0.5351,0.13,0.016,0.7916,0.5475,4.7739,2.0392,3.22,10.78,58.23,22.83,1.79,10.46,Industry-Intensive,11.5,16.0
